adult,backdrop_path,genre_ids/0,genre_ids/1,genre_ids/2,genre_ids/3,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_ids/4,genre_ids/5
false,https://image.tmdb.org/t/p/w300/6cqogY7SYppI0ZNchaTKszSkxwH.jpg,10749,53,,,652722,es,En brazos de un asesino,"Victor (William Levy) is one of the world’s most handsome  men, but he has a deep secret – he is a cold blooded assassin. Smooth talking and seductive, Victor was raised to do one thing only, which is to kill for money. When he is sent to the home of a brutal drug lord to collect payment for his most recent hit, he encounters the beautiful Sarai (Alicia Sanz), who has been forced to spend the last 9 years of her life with the drug lord.",264.136,https://image.tmdb.org/t/p/w300/iqRUOtbDunNq7gTux3zXz25Krwp.jpg,2019-12-06,In the Arms of an Assassin,false,8.2,205,,
false,https://image.tmdb.org/t/p/w300/9guoVF7zayiiUq5ulKQpt375VIy.jpg,16,28,35,14,592350,ja,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",276.382,https://image.tmdb.org/t/p/w300/zGVbrulkupqpbwgiNedkJPyQum4.jpg,2019-12-20,My Hero Academia: Heroes Rising,false,8.5,529,12,
false,https://image.tmdb.org/t/p/w300/kMe4TKMDNXTKptQPAdOF0oZHq3V.jpg,80,18,9648,,497582,en,Enola Holmes,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",260.653,https://image.tmdb.org/t/p/w300/riYInlsq2kf1AWoGm80JQW5dLKp.jpg,2020-09-23,Enola Holmes,false,7.5,2939,,
false,https://image.tmdb.org/t/p/w300/sAczHq1GTmePqHu3OTTkIyI64pV.jpg,16,10751,,,771305,en,Chico Bon Bon and the Very Berry Holiday,"The Fix-It Force makes a plan to hit every home as fast as they can, delivering Blunderberry Cakes before the town awakes to avoid a holiday disaster.",234.967,https://image.tmdb.org/t/p/w300/6uFfmr790HSdCJcfCeQcltAZUrt.jpg,2020-12-03,Chico Bon Bon and the Very Berry Holiday,false,0,0,,
false,https://image.tmdb.org/t/p/w300/rxqEtn5zJpTQkk2jZmUTyuTmMpC.jpg,35,18,10751,,568768,es,El club de los idealistas,A group of adults who met while studying college gather together a few years later.,206.076,https://image.tmdb.org/t/p/w300/ugYaq5Nz4PhY44BWiZyWFhMqKbl.jpg,2020-09-17,The Idealists,false,5.5,4,,
false,https://image.tmdb.org/t/p/w300/lPdhR8njOQWT3US0vmpQXVoOHFC.jpg,28,80,9648,,334521,en,Free Fire,"A crime drama set in 1970s Boston, about a gun sale which goes wrong.",369.431,https://image.tmdb.org/t/p/w300/21WsmKivqOE2Vut73z07M8yx84F.jpg,2017-03-31,Free Fire,false,6.3,725,,
false,https://image.tmdb.org/t/p/w300/5XKMS1dJFfnEOrl1koJyb31p5js.jpg,18,80,,,643612,en,I'm Your Woman,"In this 1970s set crime drama, a woman is forced to go on the run after her husband betrays his partners, sending her and her baby on a dangerous journey.",231.455,https://image.tmdb.org/t/p/w300/uTcJAxIV8BzNXuvcViBSibQSBid.jpg,2020-12-04,I'm Your Woman,false,5.6,35,,
false,https://image.tmdb.org/t/p/w300/mbvP37gpODCkaCcYkdwK0FFnFKv.jpg,28,80,18,53,493065,en,Cut Throat City,"Four boyhood friends return to New Orleans’ Lower Ninth Ward after Hurricane Katrina, to find their home decimated and prospects for work swept away. Turning to a local gangster for employment, the crew is hired to pull off a daring casino heist, right in the heart of the city.",260.656,https://image.tmdb.org/t/p/w300/a2Dcje3NkmySevZo5hVCfPaxqdL.jpg,2020-07-31,Cut Throat City,false,6.4,28,,
false,https://image.tmdb.org/t/p/w300/wFN8llYh215M8i2fqWAcPV8CSyL.jpg,28,12,16,35,49519,en,The Croods,"The prehistoric Croods family live in a particularly dangerous moment in time. Patriarch Grug, his mate Ugga, teenage daughter Eep, son Thunk, and feisty Gran gather food by day and huddle together in a cave at night. When a more evolved caveman named Guy arrives on the scene, Grug is distrustful, but it soon becomes apparent that Guy is correct about the impending destruction of their world.",219.835,https://image.tmdb.org/t/p/w300/27zvjVOtOi5ped1HSlJKNsKXkFH.jpg,2013-03-20,The Croods,false,6.9,5036,10751,14
false,https://image.tmdb.org/t/p/w300/6iUNJZymJBMXXriQyFZfLAKnjO6.jpg,28,12,14,,297762,en,Wonder Woman,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,236.771,https://image.tmdb.org/t/p/w300/gfJGlDaHuWimErCr5Ql0I8x9QSy.jpg,2017-05-30,Wonder Woman,false,7.3,15578,,
